"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02901 0.0054 0.0024
0.02911 0.0060 0.0018
0.02921 0.0054 0.0018
0.02931 0.0054 0.0024
0.02940 0.0054 0.0030
0.02950 0.0054 0.0018
0.02960 0.0048 0.0030
0.02970 0.0054 0.0024
0.02980 0.0066 0.0018
0.02990 0.0054 0.0018
0.03000 0.0048 0.0030
0.03010 0.0042 0.0036
0.03020 0.0060 0.0018
0.03030 0.0054 0.0018
0.03040 0.0054 0.0024
0.03050 0.0054 0.0030
0.03060 0.0054 0.0018
0.03070 0.0060 0.0030
0.03080 0.0054 0.0024
0.03090 0.0054 0.0018
0.03100 0.0054 0.0030
0.03110 0.0054 0.0030
0.03120 0.0060 0.0024
0.03130 0.0054 0.0018
0.03140 0.0066 0.0018
0.03150 0.0054 0.0042
0.03160 0.0042 0.0018
0.03170 0.0060 0.0024
0.03180 0.0054 0.0018
0.03190 0.0066 0.0030
0.03200 0.0054 0.0030
0.03210 0.0054 0.0024
0.03220 0.0066 0.0030
0.03230 0.0054 0.0030
0.03240 0.0054 0.0018
0.03249 0.0054 0.0024
0.03259 0.0054 0.0018
0.03269 0.0060 0.0030
0.03279 0.0054 0.0030
0.03289 0.0054 0.0024
0.03299 0.0054 0.0018
0.03309 0.0054 0.0030
0.03319 0.0060 0.0030
0.03329 0.0042 0.0018
0.03339 0.0066 0.0024
0.03349 0.0054 0.0018
0.03359 0.0054 0.0030
0.03369 0.0060 0.0024
0.03379 0.0054 0.0030
0.03389 0.0054 0.0018
0.03399 0.0054 0.0018
0.03409 0.0054 0.0036
0.03419 0.0060 0.0030
0.03429 0.0054 0.0018
0.03439 0.0054 0.0018
0.03449 0.0066 0.0024
0.03459 0.0054 0.0042
0.03469 0.0054 0.0018
0.03479 0.0066 0.0018
0.03489 0.0054 0.0024
0.03499 0.0054 0.0036
0.03509 0.0060 0.0024
0.03519 0.0054 0.0018
0.03529 0.0054 0.0024
0.03539 0.0054 0.0030
0.03549 0.0054 0.0018
0.03558 0.0054 0.0030
0.03568 0.0060 0.0024
0.03578 0.0054 0.0030
0.03588 0.0054 0.0018
0.03598 0.0054 0.0030
0.03608 0.0054 0.0018
0.03618 0.0066 0.0024
0.03628 0.0066 0.0042
0.03638 0.0054 0.0018
0.03648 0.0054 0.0018
0.03658 0.0060 0.0024
0.03668 0.0054 0.0036
0.03678 0.0054 0.0024
0.03688 0.0054 0.0018
0.03698 0.0066 0.0024
0.03708 0.0054 0.0030
0.03718 0.0066 0.0030
0.03728 0.0054 0.0018
0.03738 0.0054 0.0024
0.03748 0.0054 0.0036
0.03758 0.0060 0.0024
0.03768 0.0054 0.0018
0.03778 0.0066 0.0018
0.03788 0.0054 0.0036
0.03798 0.0054 0.0030
0.03808 0.0066 0.0018
0.03818 0.0042 0.0018
0.03828 0.0054 0.0030
0.03838 0.0066 0.0024
0.03848 0.0054 0.0030
0.03858 0.0060 0.0018
0.03867 0.0054 0.0024
0.03877 0.0054 0.0030
0.03887 0.0054 0.0030
0.03897 0.0054 0.0018
0.03907 0.0066 0.0024
0.03917 0.0048 0.0030
0.03927 0.0066 0.0030
0.03937 0.0054 0.0018
0.03947 0.0054 0.0018
0.03957 0.0048 0.0024
0.03967 0.0072 0.0042
0.03977 0.0054 0.0018
0.03987 0.0066 0.0030
0.03997 0.0054 0.0018
0.04007 0.0054 0.0036
0.04017 0.0054 0.0018
0.04027 0.0060 0.0030
0.04037 0.0054 0.0018
0.04047 0.0072 0.0030
0.04057 0.0048 0.0024
0.04067 0.0060 0.0030
0.04077 0.0066 0.0030
0.04087 0.0066 0.0030
0.04097 0.0054 0.0030
0.04107 0.0054 0.0030
0.04117 0.0054 0.0024
0.04127 0.0066 0.0036
0.04137 0.0054 0.0024
0.04147 0.0066 0.0018
0.04157 0.0054 0.0018
0.04167 0.0060 0.0036
0.04176 0.0072 0.0036
0.04186 0.0066 0.0024
0.04196 0.0054 0.0018
0.04206 0.0054 0.0030
0.04216 0.0054 0.0024
0.04226 0.0054 0.0018
0.04236 0.0060 0.0042
0.04246 0.0054 0.0018
0.04256 0.0060 0.0018
0.04266 0.0060 0.0024
0.04276 0.0060 0.0042
0.04286 0.0060 0.0018
0.04296 0.0054 0.0030
0.04306 0.0054 0.0018
0.04316 0.0066 0.0030
0.04326 0.0054 0.0024
0.04336 0.0048 0.0018
0.04346 0.0060 0.0030
0.04356 0.0054 0.0030
0.04366 0.0114 0.0042
0.04376 0.0048 0.0042
0.04386 0.0060 0.0018
0.04396 0.0054 0.0024
0.04406 0.0060 0.0018
0.04416 0.0054 0.0030
0.04426 0.0054 0.0030
0.04436 0.0066 0.0024
0.04446 0.0042 0.0018
0.04456 0.0066 0.0030
0.04466 0.0054 0.0030
0.04476 0.0066 0.0018
0.04485 0.0054 0.0036
0.04495 0.0060 0.0018
0.04505 0.0054 0.0030
0.04515 0.0054 0.0018
0.04525 0.0066 0.0024
0.04535 0.0042 0.0030
0.04545 0.0066 0.0018
0.04555 0.0066 0.0030
0.04565 0.0054 0.0024
0.04575 0.0066 0.0036
0.04585 0.0060 0.0024
0.04595 0.0084 0.0042
0.04605 0.0066 0.0048
0.04615 0.0054 0.0018
0.04625 0.0054 0.0024
0.04635 0.0060 0.0042
0.04645 0.0078 0.0030
0.04655 0.0066 0.0036
0.04665 0.0054 0.0024
0.04675 0.0066 0.0030
0.04685 0.0066 0.0018
0.04695 0.0054 0.0030
0.04705 0.0054 0.0030
0.04715 0.0066 0.0024
0.04725 0.0066 0.0030
0.04735 0.0054 0.0018
0.04745 0.0054 0.0030
0.04755 0.0054 0.0024
0.04765 0.0066 0.0030
0.04775 0.0066 0.0030
0.04785 0.0054 0.0018
0.04794 0.0066 0.0042
0.04804 0.0078 0.0018
0.04814 0.0060 0.0042
0.04824 0.0054 0.0024
0.04834 0.0054 0.0030
0.04844 0.0072 0.0030
0.04854 0.0054 0.0018
0.04864 0.0066 0.0042
0.04874 0.0066 0.0030
0.04884 0.0066 0.0030
0.04894 0.0060 0.0018
0.04904 0.0060 0.0024
0.04914 0.0060 0.0036
0.04924 0.0066 0.0042
0.04934 0.0084 0.0024
0.04944 0.0054 0.0030
0.04954 0.0054 0.0030
0.04964 0.0072 0.0018
0.04974 0.0066 0.0042
0.04984 0.0066 0.0030
0.04994 0.0072 0.0030
0.05004 0.0054 0.0030
0.05014 0.0066 0.0030
0.05024 0.0066 0.0030
0.05034 0.0066 0.0030
0.05044 0.0060 0.0030
0.05054 0.0066 0.0030
0.05064 0.0066 0.0036
0.05074 0.0054 0.0030
0.05084 0.0066 0.0030
0.05094 0.0072 0.0030
0.05103 0.0066 0.0042
0.05113 0.0090 0.0036
0.05123 0.0066 0.0024
0.05133 0.0060 0.0036
0.05143 0.0078 0.0024
0.05153 0.0060 0.0042
0.05163 0.0066 0.0036
0.05173 0.0072 0.0024
0.05183 0.0078 0.0030
0.05193 0.0060 0.0042
0.05203 0.0066 0.0030
0.05213 0.0072 0.0036
0.05223 0.0066 0.0024
0.05233 0.0066 0.0042
