"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01057 1717261 2.15784e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01067 1717088 2.15766e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01077 1716915 2.15747e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01086 1716742 2.15728e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01096 1716569 2.1571e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01106 1716396 2.15691e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01116 1716223 2.15673e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01126 1716050 2.15655e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01136 1715877 2.15636e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01146 1715704 2.15618e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01156 1715531 2.156e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01166 1715358 2.15582e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01176 1715185 2.15564e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01186 1715012 2.15546e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01196 1714839 2.15528e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01206 1714666 2.15511e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01216 1714493 2.15492e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01226 1714320 2.15475e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01236 1714147 2.15457e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01246 1713974 2.1544e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01256 1713801 2.15422e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01266 1713628 2.15405e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01276 1713455 2.15387e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01286 1713282 2.1537e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01296 1713109 2.15353e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01306 1712936 2.15336e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01316 1712763 2.15319e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01326 1712590 2.15302e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01336 1712417 2.15285e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01346 1712244 2.15267e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01356 1712071 2.1525e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01366 1711898 2.15233e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01376 1711725 2.15216e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01386 1711552 2.15199e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01395 1711379 2.15182e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01405 1711206 2.15166e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01415 1711033 2.15148e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01425 1710860 2.15132e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01435 1710687 2.15116e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01445 1710514 2.15099e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01455 1710341 2.15083e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01465 1710168 2.15067e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01475 1709995 2.15050e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01485 1709822 2.15033e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01495 1709649 2.15017e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01505 1709476 2.15001e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01515 1709303 2.14984e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01525 1709130 2.14968e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01535 1708957 2.14952e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01545 1708784 2.14936e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01555 1708611 2.14921e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01565 1708438 2.14904e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
