"number" "dsum" "count" "missing" "quant_error" "fname"
115 19184.0 19184 3975386 0.0 "X:\Projects\bird_flu_surveillance\species\525_Pycnoptilus_floccosus.tif"
116 757780. 757780 3236790 0.0 "X:\Projects\bird_flu_surveillance\species\529_Aphelocephala_leucopsis.tif"
117 1491.0 1491 3993079 0.0 "X:\Projects\bird_flu_surveillance\species\533_Dasyornis_brachypterus.tif"
118 4652.0 4652 3989918 0.0 "X:\Projects\bird_flu_surveillance\species\558_Amytornis_dorotheae.tif"
119 4857.0 4857 3989713 0.0 "X:\Projects\bird_flu_surveillance\species\564_Amytornis_woodwardi.tif"
121 127515. 127515 3867055 0.0 "X:\Projects\bird_flu_surveillance\species\592_Rhipidura_rufifrons.tif"
122 2106.0 2106 3992464 0.0 "X:\Projects\bird_flu_surveillance\species\59278_Petrogale_coenensis.tif"
123 716.0 716 3993854 0.0 "X:\Projects\bird_flu_surveillance\species\59281_Petrogale_sharmani.tif"
125 6650.0 6650 3987920 0.0 "X:\Projects\bird_flu_surveillance\species\59300_Xenus_cinereus.tif"
126 30017.0 30017 3964553 0.0 "X:\Projects\bird_flu_surveillance\species\59309_Actitis_hypoleucos.tif"
127 162822. 162822 3831748 0.0 "X:\Projects\bird_flu_surveillance\species\59350_Pezoporus_occidentalis.tif"
128 1085.0 1085 3993485 0.0 "X:\Projects\bird_flu_surveillance\species\59363_Puffinus_assimilis.tif"
129 168787. 168787 3825783 0.0 "X:\Projects\bird_flu_surveillance\species\59398_Stagonopleura_guttata.tif"
130 1433.0 1433 3993137 0.0 "X:\Projects\bird_flu_surveillance\species\59459_Stipiturus_mallee.tif"
132 10760.0 10760 3983810 0.0 "X:\Projects\bird_flu_surveillance\species\59510_Thinornis_cucullatus.tif"
133 60692.0 60692 3933878 0.0 "X:\Projects\bird_flu_surveillance\species\59523_Zanda_latirostris.tif"
134 97.0 97 3994473 0.0 "X:\Projects\bird_flu_surveillance\species\59542_Bubulcus_ibis.tif"
138 18244.0 18244 3976326 0.0 "X:\Projects\bird_flu_surveillance\species\59612_Polytelis_anthopeplus_monarchoides.tif"
139 14.0 14 3994556 0.0 "X:\Projects\bird_flu_surveillance\species\59642_Pterodroma_cervicalis.tif"
140 1034.0 1034 3993536 0.0 "X:\Projects\bird_flu_surveillance\species\59660_Phalacrocorax_fuscescens.tif"
141 1629.0 1629 3992941 0.0 "X:\Projects\bird_flu_surveillance\species\59714_Cyclopsitta_diophthalma_coxeni.tif"
142 3160.0 3160 3991410 0.0 "X:\Projects\bird_flu_surveillance\species\601_Pachycephala_rufogularis.tif"
144 1865.0 1865 3992705 0.0 "X:\Projects\bird_flu_surveillance\species\607_Monarcha_frater.tif"
145 52329.0 52329 3942241 0.0 "X:\Projects\bird_flu_surveillance\species\609_Monarcha_melanopsis.tif"
146 30352.0 30352 3964218 0.0 "X:\Projects\bird_flu_surveillance\species\610_Symposiachrus_trivirgatus.tif"
147 186169. 186169 3808401 0.0 "X:\Projects\bird_flu_surveillance\species\612_Myiagra_cyanoleuca.tif"
149 4.0 4 3994566 0.0 "X:\Projects\bird_flu_surveillance\species\64378_Anous_albivitta.tif"
150 60718.0 60718 3933852 0.0 "X:\Projects\bird_flu_surveillance\species\644_Motacilla_flava.tif"
152 18254.0 18254 3976316 0.0 "X:\Projects\bird_flu_surveillance\species\64435_Aquila_audax_fleayi.tif"
153 671.0 671 3993899 0.0 "X:\Projects\bird_flu_surveillance\species\64436_Calyptorhynchus_lathami_halmaturinus.tif"
154 4164.0 4164 3990406 0.0 "X:\Projects\bird_flu_surveillance\species\64438_Fregetta_grallaria_grallaria.tif"
155 60362.0 60362 3934208 0.0 "X:\Projects\bird_flu_surveillance\species\64440_Geophaps_scripta_scripta.tif"
156 18709.0 18709 3975861 0.0 "X:\Projects\bird_flu_surveillance\species\64441_Geophaps_smithii_smithii.tif"
158 8269.0 8269 3986301 0.0 "X:\Projects\bird_flu_surveillance\species\64445_Pachyptila_turtur_subantarctica.tif"
159 17882.0 17882 3976688 0.0 "X:\Projects\bird_flu_surveillance\species\64447_Poephila_cincta_cincta.tif"
160 94.0 94 3994476 0.0 "X:\Projects\bird_flu_surveillance\species\64449_Psophodes_nigrogularis_nigrogularis.tif"
163 3734.0 3734 3990836 0.0 "X:\Projects\bird_flu_surveillance\species\64454_Amytornis_textilis_myall.tif"
164 2758.0 2758 3991812 0.0 "X:\Projects\bird_flu_surveillance\species\64456_Diomedea_sanfordi.tif"
165 5160.0 5160 3989410 0.0 "X:\Projects\bird_flu_surveillance\species\64458_Diomedea_antipodensis.tif"
166 2302.0 2302 3992268 0.0 "X:\Projects\bird_flu_surveillance\species\64459_Thalassarche_impavida.tif"
167 1015.0 1015 3993555 0.0 "X:\Projects\bird_flu_surveillance\species\64460_Thalassarche_bulleri.tif"
168 4354.0 4354 3990216 0.0 "X:\Projects\bird_flu_surveillance\species\64462_Thalassarche_steadi.tif"
169 3573.0 3573 3990997 0.0 "X:\Projects\bird_flu_surveillance\species\64463_Thalassarche_salvini.tif"
170 5055.0 5055 3989515 0.0 "X:\Projects\bird_flu_surveillance\species\64464_Thalassarche_carteri.tif"
171 727.0 727 3993843 0.0 "X:\Projects\bird_flu_surveillance\species\64475_Dasyurus_maculatus_gracilis.tif"
172 58.0 58 3994512 0.0 "X:\Projects\bird_flu_surveillance\species\654_Atrichornis_clamosus.tif"
173 1547.0 1547 3993023 0.0 "X:\Projects\bird_flu_surveillance\species\655_Atrichornis_rufescens.tif"
174 12835.0 12835 3981735 0.0 "X:\Projects\bird_flu_surveillance\species\66_Xeromys_myoides.tif"
175 14541.0 14541 3980029 0.0 "X:\Projects\bird_flu_surveillance\species\662_Hirundo_rustica.tif"
177 5892.0 5892 3988678 0.0 "X:\Projects\bird_flu_surveillance\species\66472_Thalassarche_melanophris.tif"
179 7934.0 7934 3986636 0.0 "X:\Projects\bird_flu_surveillance\species\66501_Geophaps_smithii_blaauwi.tif"
180 43.0 43 3994527 0.0 "X:\Projects\bird_flu_surveillance\species\66642_Potorous_gilbertii.tif"
181 12355.0 12355 3982215 0.0 "X:\Projects\bird_flu_surveillance\species\66645_Potorous_tridactylus_tridactylus.tif"
182 2002.0 2002 3992568 0.0 "X:\Projects\bird_flu_surveillance\species\66646_Petrogale_xanthopus_xanthopus.tif"
183 1423.0 1423 3993147 0.0 "X:\Projects\bird_flu_surveillance\species\66647_Petrogale_lateralis_lateralis.tif"
184 8200.0 8200 3986370 0.0 "X:\Projects\bird_flu_surveillance\species\66651_Perameles_gunnii_gunnii.tif"
185 767.0 767 3993803 0.0 "X:\Projects\bird_flu_surveillance\species\66659_Bettongia_lesueur_lesueur.tif"
186 54.0 54 3994516 0.0 "X:\Projects\bird_flu_surveillance\species\66661_Lagorchestes_conspicillatus_conspicillatus.tif"
187 156.0 156 3994414 0.0 "X:\Projects\bird_flu_surveillance\species\66662_Lagorchestes_hirsutus_bernieri.tif"
188 160.0 160 3994410 0.0 "X:\Projects\bird_flu_surveillance\species\66663_Lagorchestes_hirsutus_dorreae.tif"
189 580.0 580 3993990 0.0 "X:\Projects\bird_flu_surveillance\species\66664_Lagostrophus_fasciatus_fasciatus.tif"
190 4082.0 4082 3990488 0.0 "X:\Projects\bird_flu_surveillance\species\66665_Isoodon_auratus_auratus.tif"
191 626.0 626 3993944 0.0 "X:\Projects\bird_flu_surveillance\species\66666_Isoodon_auratus_barrowensis.tif"
192 2.0 2 3994568 0.0 "X:\Projects\bird_flu_surveillance\species\66667_Isoodon_obesulus_nauticus.tif"
195 2129.0 2129 3992441 0.0 "X:\Projects\bird_flu_surveillance\species\66844_Bettongia_penicillata_ogilbyi.tif"
196 2.0 2 3994568 0.0 "X:\Projects\bird_flu_surveillance\species\66849_Petrogale_lateralis_hacketti.tif"
197 40189.0 40189 3954381 0.0 "X:\Projects\bird_flu_surveillance\species\66889_Saccolaimus_saccolaimus_nudicluniatus.tif"
202 12278.0 12278 3982292 0.0 "X:\Projects\bird_flu_surveillance\species\67033_Probosciger_aterrimus_macgillivrayi.tif"
203 12363.0 12363 3982207 0.0 "X:\Projects\bird_flu_surveillance\species\67034_Calyptorhynchus_banksii_naso.tif"
204 82478.0 82478 3912092 0.0 "X:\Projects\bird_flu_surveillance\species\67036_Calyptorhynchus_lathami_lathami.tif"
205 16.0 16 3994554 0.0 "X:\Projects\bird_flu_surveillance\species\67041_Platycercus_caledonicus_brownii.tif"
207 10325.0 10325 3984245 0.0 "X:\Projects\bird_flu_surveillance\species\67051_Tyto_novaehollandiae_castanops_(Tasmanian_population).tif"
208 72539.0 72539 3922031 0.0 "X:\Projects\bird_flu_surveillance\species\67062_Climacteris_picumnus_victoriae.tif"
209 1654.0 1654 3992916 0.0 "X:\Projects\bird_flu_surveillance\species\67065_Amytornis_barbatus_barbatus.tif"
210 47.0 47 3994523 0.0 "X:\Projects\bird_flu_surveillance\species\67080_Acanthiza_iredalei_rosinae.tif"
211 1007.0 1007 3993563 0.0 "X:\Projects\bird_flu_surveillance\species\67089_Epthianura_crocea_tunneyi.tif"
212 226.0 226 3994344 0.0 "X:\Projects\bird_flu_surveillance\species\67090_Epthianura_crocea_macgregori.tif"
213 1406.0 1406 3993164 0.0 "X:\Projects\bird_flu_surveillance\species\67092_Melanodryas_cucullata_melvillensis.tif"
214 143743. 143743 3850827 0.0 "X:\Projects\bird_flu_surveillance\species\67093_Melanodryas_cucullata_cucullata.tif"
215 307.0 307 3994263 0.0 "X:\Projects\bird_flu_surveillance\species\67098_Psophodes_leucogaster_lashmari.tif"
216 292.0 292 3994278 0.0 "X:\Projects\bird_flu_surveillance\species\67113_Strepera_fuliginosa_colei.tif"
217 822.0 822 3993748 0.0 "X:\Projects\bird_flu_surveillance\species\67121_Zoothera_lunulata_halmaturina.tif"
219 1.40464e+06 1404636 2589934 0.0 "X:\Projects\bird_flu_surveillance\species\678_Apus_pacificus.tif"
220 10.0 10 3994560 0.0 "X:\Projects\bird_flu_surveillance\species\67812_Balaenoptera_bonaerensis.tif"
221 227.0 227 3994343 0.0 "X:\Projects\bird_flu_surveillance\species\68_Zyzomys_pedunculatus.tif"
222 10893.0 10893 3983677 0.0 "X:\Projects\bird_flu_surveillance\species\68050_Isoodon_obesulus_obesulus.tif"
223 155326. 155326 3839244 0.0 "X:\Projects\bird_flu_surveillance\species\682_Hirundapus_caudacutus.tif"
224 13024.0 13024 3981546 0.0 "X:\Projects\bird_flu_surveillance\species\68418_Tursiops_aduncus.tif"
225 836555. 836555 3158015 0.0 "X:\Projects\bird_flu_surveillance\species\705_Chalcites_osculans.tif"
226 3825.0 3825 3990745 0.0 "X:\Projects\bird_flu_surveillance\species\720_Psephotellus_chrysopterygius.tif"
227 253622. 253622 3740948 0.0 "X:\Projects\bird_flu_surveillance\species\726_Neophema_chrysostoma.tif"
228 54730.0 54730 3939840 0.0 "X:\Projects\bird_flu_surveillance\species\738_Polytelis_swainsonii.tif"
229 50058.0 50058 3944512 0.0 "X:\Projects\bird_flu_surveillance\species\744_Lathamus_discolor.tif"
230 4759.0 4759 3989811 0.0 "X:\Projects\bird_flu_surveillance\species\747_Neophema_chrysogaster.tif"
231 15352.0 15352 3979218 0.0 "X:\Projects\bird_flu_surveillance\species\75183_Dasyurus_maculatus_maculatus_(Tasmanian_population).tif"
232 63069.0 63069 3931501 0.0 "X:\Projects\bird_flu_surveillance\species\75184_Dasyurus_maculatus_maculatus_(SE_mainland_population).tif"
233 197871. 197871 3796699 0.0 "X:\Projects\bird_flu_surveillance\species\758_Polytelis_alexandrae.tif"
